Задача,Спринт,Приоритет,Статус,Оценка,Комментарий
Создать класс Hero,Sprint 1,🔥 Высокий,✅ Готово,1 ч,
Реализовать метод attack(),Sprint 1,🔥 Высокий,✅ Готово,1 ч,
Реализовать метод is_alive(),Sprint 1,🔥 Высокий,✅ Готово,0.5 ч,
Создать класс Game,Sprint 1,🔥 Высокий,✅ Готово,1 ч,
Чередование ходов,Sprint 1,🔥 Высокий,✅ Готово,0.5 ч,
Вывод состояния в консоль,Sprint 1,🔥 Высокий,✅ Готово,0.5 ч,
Сохранение результатов в файл,Sprint 2,⭐ Средний,🔧 В процессе,1 ч,results.txt
Разделить проект по модулям,Sprint 2,⭐ Средний,🔧 В процессе,1 ч,"main, game, hero"
Добавить случайный урон,Sprint 3,✅ Низкий,🧠 Планируется,1 ч,"randint(15, 25)"
Выбор уровня сложности,Sprint 3,✅ Низкий,🧠 Планируется,1 ч,AI урон выше
Добавить лог боёв,Sprint 3,⭐ Средний,🧠 Планируется,1.5 ч,log.txt
